target_id,target_type,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving,saving_status,actual_cost_mean,actual_cost_min,actual_cost_max,scope
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,CENTER_FIRST,0.06240685789647214,47.885134887695315,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176,DEFINED,0.07768818199939892,0.07674904281239123,0.0777316188592153,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,SERPENTINE,0.15583250906693044,48.33528991699219,REACHED,True,0.03138806462248599,0.12444444444444445,0.7985781990521328,DEFINED,0.1557818025389355,0.15532544378698224,0.15583250906693044,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,RANDOM,0.1872227717331575,48.15131665039062,REACHED,False,0.03138806462248599,0.1558347071106715,0.8323491083273653,DEFINED,0.18062316147852248,0.1715976331360947,0.1872227717331575,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.06240685789647214,45.96669342041016,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06146942654469477,0.04696745562130178,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.03120342894823607,45.153423156738285,REACHED,False,0.03138806462248599,-0.00018463567424991528,-0.00591715976331364,DEFINED,0.028353209975874677,0.015694032311242993,0.03120342894823607,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,46.50705078125,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030861019423308444,0.015694032311242993,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.04604942568743474,48.33606689453125,REACHED,True,0.03138806462248599,0.014661361064948752,0.3183831469357352,DEFINED,0.031489357662074065,0.03069961712495649,0.04604942568743474,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12454835101389078,0.12316394013226592,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.25,48.012801818847656,REACHED,False,0.0625,0.1875,0.75,DEFINED,0.24918441521956713,0.2485207100591716,0.24925816023738873,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,RANDOM,0.25,46.88638348388671,REACHED,False,0.0625,0.1875,0.75,DEFINED,0.24694306468044036,0.23449170238487746,0.25,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,CENTER_FIRST,0.06240685789647214,47.885134887695315,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176,DEFINED,0.07768818199939892,0.07674904281239123,0.0777316188592153,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,SERPENTINE,0.24925816023738873,48.012801818847656,REACHED,False,0.03138806462248599,0.21787009561490273,0.8740740740740741,DEFINED,0.24918441521956713,0.2485207100591716,0.24925816023738873,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,RANDOM,0.21782979463974944,47.95861102294923,REACHED,False,0.03138806462248599,0.18644173001726344,0.8559055492183882,DEFINED,0.2031710686451812,0.20273216837015057,0.21782979463974944,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.06240685789647214,45.96669342041016,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06146942654469477,0.04696745562130178,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.03120342894823607,45.153423156738285,REACHED,False,0.03138806462248599,-0.00018463567424991528,-0.00591715976331364,DEFINED,0.028353209975874677,0.015694032311242993,0.03120342894823607,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,46.50705078125,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030861019423308444,0.015694032311242993,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.046897461259479065,46.489671020507814,REACHED,False,0.03138806462248599,0.015509396636993078,0.3307086614173229,DEFINED,0.045504654244774,0.03106508875739645,0.046897461259479065,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.0625,50.22089508056641,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06201760791405909,0.06139923424991298,0.0621301775147929,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.0625,49.73057769775391,REACHED,False,0.0625,0.0,0.0,DEFINED,0.062379189858304235,0.0621301775147929,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,RANDOM,0.0625,53.15628833007813,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0536034845209486,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,CENTER_FIRST,0.015694032311242993,52.38619537353516,REACHED,False,0.015694032311242993,0.0,0.0,DEFINED,0.01567057408533972,0.015349808562478246,0.015694032311242993,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.015509396636993076,51.64592498779297,REACHED,False,0.015694032311242993,-0.00018463567424991702,-0.011904761904761862,DEFINED,0.014572449315792884,0.0,0.015509396636993076,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,SERPENTINE,0.015509396636993076,51.64592498779297,REACHED,False,0.015694032311242993,-0.00018463567424991702,-0.011904761904761862,DEFINED,0.014572449315792884,0.0,0.015509396636993076,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,RANDOM,0.04708429497747005,53.05444262695311,REACHED,True,0.015694032311242993,0.031390262666227055,0.6666822277204612,DEFINED,0.04641591360333942,0.03143056038983641,0.04708429497747005,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.04671282558522915,49.49462860107422,REACHED,False,0.015694032311242993,0.031018793273986156,0.6640316205533597,DEFINED,0.04517024125155829,0.03106508875739645,0.04671282558522915,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.015694032311242993,51.244887084960936,REACHED,False,0.015694032311242993,0.0,0.0,DEFINED,0.014957379430740327,0.0,0.015694032311242993,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03106508875739645,51.98860809326172,REACHED,False,0.015694032311242993,0.015371056446153455,0.49480162655236837,DEFINED,0.02053619251925305,0.015509396636993076,0.03106508875739645,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.015694032311242993,52.30854156494141,REACHED,False,0.015694032311242993,0.0,0.0,DEFINED,0.015585641675184746,0.015349808562478246,0.015694032311242993,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.03106508875739645,52.91074279785156,REACHED,False,0.015694032311242993,0.015371056446153455,0.49480162655236837,DEFINED,0.020233466007804388,0.015509396636993076,0.03106508875739645,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.015694032311242993,0.984305967688757,0.984305967688757,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12454835101389078,0.12316394013226592,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.125,48.7731787109375,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12459220760978357,0.1242603550295858,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,RANDOM,0.125,49.153046874999994,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.11876832825346553,0.10930651719969228,0.125,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,CENTER_FIRST,0.046897461259479065,48.85898315429687,REACHED,True,0.03120342894823607,0.015694032311242993,0.33464566929133854,DEFINED,0.0468455501491942,0.04604942568743474,0.046897461259479065,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03120342894823607,0.04652818991097923,0.5985748218527316,DEFINED,0.07768818199939892,0.07674904281239123,0.0777316188592153,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,SERPENTINE,0.10911968348170129,48.82163482666016,REACHED,False,0.03120342894823607,0.0779162545334652,0.7140439932318106,DEFINED,0.10908780563126866,0.10872781065088756,0.10911968348170129,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,RANDOM,0.125,49.153046874999994,REACHED,False,0.03120342894823607,0.09379657105176392,0.7503725684141114,DEFINED,0.11876832825346553,0.10930651719969228,0.125,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,LEARNED_STATIC_TRUE,0.0621301775147929,48.893489074707034,REACHED,False,0.03120342894823607,0.030926748566556826,0.4977733816902956,DEFINED,0.047344797464576024,0.04671282558522915,0.0621301775147929,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,NO_VLM_SPATIAL_FEEDBACK,0.015715280194918205,48.84876586914063,REACHED,False,0.03120342894823607,-0.015488148753317867,-0.9855470956430172,DEFINED,0.015271685034638691,0.0,0.015715280194918205,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,False,0.03120342894823607,0.00018463567424991528,0.00588235294117645,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03120342894823607,49.05740936279297,REACHED,False,0.03120342894823607,0.0,0.0,DEFINED,0.028663854899734425,0.015694032311242993,0.03120342894823607,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.03138806462248599,49.04834716796875,REACHED,False,0.03120342894823607,0.00018463567424991528,0.00588235294117645,DEFINED,0.031182361490824498,0.03069961712495649,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03120342894823607,0.968796571051764,0.968796571051764,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_RANDOM_3,NONADAPTIVE_ANCHOR,48.107519653320296,RANDOM,0.1875,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
