authorized,boundary_consistency,cai_access,dataset_id,decoded_pixel_replay,deterministic_transform_replay,global_orientation,grid_cell_count,hidden_cscan_orientation_selection,invertible,maximum_round_trip_error_px,oracle_access,panel_resolution,physical_mm_cross_modal_mapping,specimen_id,status,unsupported_rotation_reflection
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-7,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-8,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-8t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-9,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-9t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-1,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-10,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-11,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-12,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-13,PASS,PASS_NONE
